"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","Редактирование тега","0"
"0","","0","","1","0","Выход из системы","0"
"0","","0","","6","0","","0"
"0","Тестирование функциональности профиля","0","Профиль пользователя","1","0","Изменение Bio","0"
"0","","0","","1","0","Изменение email","0"
"0","","0","","1","0","Авторизация","0"
"0","","0","","1","0","Изменение имени","0"
"0","","0","","1","0","Редактирование названия статьи","0"
"0","Тестирование функциональности статей","0","Статьи пользователя","1","0","Публикация статьи","0"
"0","","0","","1","0","Добавление фото","0"
"0","","0","","1","0","Редактирование текста статьи","0"
